OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
600061,Kwik Trip #4406,451 State Hwy 6 Exit 182,Max,NE,129,3.112
600062,Kwik Trip #8261,5339 US-287 Exit 69,Indian Lake,MO,357,3.059
600063,Petro Stopping Center #5924,2614 I-95 Exit 202,Amboy,IL,54,3.021
600064,Roadys Truck Stop #7595,4244 US-287 Exit 233,Keystone,IN,363,3.200
600065,Kwik Trip #3559,5299 I-40 Exit 232,Lincoln Park,MI,293,3.185
600066,Kwik Trip #7575,1558 I-10 Exit 124,Lee,IL,169,3.020
600067,Sapp Bros #6611,7050 I-95 Exit 222,Oak Grove Heights,AR,127,2.978
600068,Kwik Trip #9523,5922 I-10 Exit 382,Whitesboro,OK,276,2.931
600069,Roadys Truck Stop #4201,1218 State Hwy 6 Exit 335,Sharpsburg,NC,274,3.173
600070,AMBEST #6441,852 I-10 Exit 63,Campbell South Island,IL,308,3.025
600071,Bosselman Travel Center #9654,1916 I-10 Exit 222,Bay View,OH,67,3.079
600072,Bosselman Travel Center #5122,7809 State Hwy 6 Exit 361,Garwood,NJ,87,3.265
600073,Bosselman Travel Center #3310,6544 I-10 Exit 275,Mona,IA,146,3.250
600074,Sapp Bros #2015,8050 I-95 Exit 235,Strattanville,PA,98,3.250
600075,Roadys Truck Stop #7987,9350 I-10 Exit 311,Lincoln,IA,25,3.396
600076,TA Travel Center #8201,1362 I-95 Exit 389,Bankston,IA,30,3.293
600077,AMBEST #5225,2184 I-40 Exit 97,Sammamish,WA,277,4.102
600078,Loves Travel Stop #2207,2134 US-287 Exit 327,Wynnedale,IN,39,3.026
600079,Bosselman Travel Center #779,4589 US-287 Exit 375,Callensburg,PA,196,3.160
600080,Road Ranger #4534,6933 I-10 Exit 94,Madisonville,LA,78,3.112
600081,Pilot Travel Center #1637,6501 US-287 Exit 218,Yankee Hill,NE,209,3.199
600082,Bosselman Travel Center #3575,5880 I-40 Exit 268,Rolla,MO,80,3.354
600083,Petro Stopping Center #3190,2254 State Hwy 6 Exit 66,Hinckley,IL,166,3.110
600084,Petro Stopping Center #337,3950 I-40 Exit 330,Grayridge,MO,254,3.259
600085,Sapp Bros #5234,9853 I-95 Exit 146,Bal Harbour,FL,34,2.771
600086,Pilot Travel Center #2412,4738 I-95 Exit 153,Aurora,IA,98,2.788
600087,Sapp Bros #907,8093 US-287 Exit 189,Delaware,NJ,8,3.107
600088,Flying J #4142,3116 I-95 Exit 28,Lincoln,NE,300,2.855
600089,AMBEST #9357,7728 I-40 Exit 72,Novelty,MO,136,3.062
600090,Flying J #1509,494 I-95 Exit 7,East Moline,IL,240,3.238
600091,QuikTrip #1676,9230 I-80 Exit 121,Carbon Cliff,IL,347,2.972
600092,TA Travel Center #8111,7877 I-10 Exit 330,Takoma Park,MD,113,3.299
600093,QuikTrip #7246,5909 US-287 Exit 132,West Bend,IA,226,2.964
600094,QuikTrip #5948,7895 I-80 Exit 173,Glendale,CO,165,3.468
600095,Petro Stopping Center #9232,1848 US-287 Exit 240,Ephesus,GA,50,3.086
600096,Roadys Truck Stop #1832,5663 I-10 Exit 127,Bloomington,IL,298,3.237
600097,Flying J #9555,2189 I-95 Exit 137,Beebe,AR,92,2.977
600098,TA Travel Center #1230,5764 I-40 Exit 329,Llewellyn Park,NJ,51,3.101
600099,Flying J #4272,3746 I-10 Exit 128,Garfield Heights,OH,292,3.189
600100,Bosselman Travel Center #8940,5515 I-95 Exit 93,Bailey,TX,148,3.078
600101,QuikTrip #7852,3195 I-80 Exit 361,Monument,PA,290,3.173
600102,Bosselman Travel Center #811,3721 State Hwy 6 Exit 58,Brookmont,MD,353,3.108
600103,Bosselman Travel Center #1896,2525 State Hwy 6 Exit 178,Woodridge,IL,307,3.110
600104,Sapp Bros #5261,7668 I-10 Exit 45,Minden,NE,148,3.460
600105,TA Travel Center #1480,1567 State Hwy 6 Exit 345,Peapack And Gladstone,NJ,96,3.131
600106,Road Ranger #6515,5428 I-95 Exit 46,Toledo,IA,24,3.095
600107,Pilot Travel Center #4623,4219 I-80 Exit 202,Russell,AR,129,3.155
600108,Petro Stopping Center #4212,3544 I-80 Exit 384,Ben Arnold,TX,399,2.926
600109,Bosselman Travel Center #6955,9737 I-40 Exit 130,Chain O Lakes,IN,76,3.257
600110,Road Ranger #222,1023 State Hwy 6 Exit 323,Carbondale,KS,77,3.327
600111,TA Travel Center #7332,6620 I-10 Exit 257,Essex,IA,123,3.017
600112,Pilot Travel Center #8411,7407 I-95 Exit 164,Santa Rosa,NM,343,3.475
600113,QuikTrip #1843,1023 I-95 Exit 112,Valley View,OH,97,2.935
600114,Pilot Travel Center #333,814 I-95 Exit 23,Minneapolis,MN,31,3.088
600115,AMBEST #7030,3568 I-10 Exit 72,Connecticut Farms,NJ,176,2.751
600116,AMBEST #7896,7406 US-287 Exit 146,Sunbury,PA,207,3.058
600117,Sapp Bros #9136,6869 I-40 Exit 246,Pendleton,IN,85,2.942
600118,QuikTrip #555,4053 US-287 Exit 141,Pompano Beach,FL,216,2.895
600119,AMBEST #3648,3708 I-80 Exit 365,Roosevelt Gardens,FL,147,3.009
600120,AMBEST #6868,8756 US-287 Exit 395,Franklin,IL,34,2.933
600121,Sapp Bros #4960,6830 I-10 Exit 103,Turkey Creek,LA,171,3.095
600122,Flying J #5237,1213 I-95 Exit 188,Little River,KS,56,3.251
600123,Road Ranger #8287,6586 I-95 Exit 346,Issaquah,WA,198,3.724
600124,Sapp Bros #9601,6791 US-287 Exit 211,Walnut Park,CA,7,3.920
600125,Pilot Travel Center #3846,3686 State Hwy 6 Exit 381,Simmesport,LA,162,3.116
600126,Roadys Truck Stop #4557,8551 US-287 Exit 327,Lacona,IA,72,3.273
600127,Loves Travel Stop #242,9339 I-80 Exit 95,Defiance,MO,66,2.939
600128,Sapp Bros #5885,7963 I-95 Exit 325,Greenway,AR,189,3.288
600129,Road Ranger #3343,7524 I-10 Exit 67,Westview,FL,118,2.764
600130,Petro Stopping Center #1248,4765 I-80 Exit 220,Old Elm Spring Colony,SD,158,3.211
600131,Flying J #1040,3129 I-95 Exit 242,Burr Ridge,IL,24,2.982
600132,QuikTrip #2643,3031 I-95 Exit 287,Midland,SD,74,3.262
600133,Loves Travel Stop #364,3381 US-287 Exit 327,Viola,ID,388,3.986
600134,AMBEST #3216,2603 I-80 Exit 311,New Milford,IL,327,3.390
600135,Sapp Bros #639,1524 I-10 Exit 345,West Park,FL,342,3.076
600136,Roadys Truck Stop #2280,9225 US-287 Exit 14,Prescott,IA,236,3.040
600137,Roadys Truck Stop #9793,5480 I-80 Exit 309,Shamokin Dam,PA,28,3.257
600138,Flying J #4917,8272 State Hwy 6 Exit 235,Ackermanville,PA,352,2.998
600139,Bosselman Travel Center #493,924 State Hwy 6 Exit 259,Brookfield Center,OH,80,3.029
600140,Roadys Truck Stop #6281,5156 I-10 Exit 288,Mansura,LA,114,3.150
600141,Roadys Truck Stop #179,9358 I-10 Exit 159,Chattahoochee Hills,GA,108,2.815
600142,AMBEST #5932,368 I-95 Exit 168,Stewartsville,NJ,172,3.064
600143,Bosselman Travel Center #3061,5575 I-10 Exit 219,Worth,IL,85,2.825
600144,Roadys Truck Stop #6331,9366 I-80 Exit 108,Wilderness Rim,WA,399,3.783
600145,TA Travel Center #5464,7438 I-10 Exit 82,Wolfe City,TX,250,3.057
600146,Road Ranger #6864,8952 I-10 Exit 311,Twin Grove,IL,365,3.495
600147,TA Travel Center #7859,998 I-10 Exit 350,Kennebec,SD,139,3.148
600148,AMBEST #4047,4250 I-10 Exit 129,Hessville,OH,221,3.117
600149,Roadys Truck Stop #6616,1826 I-40 Exit 181,Lakewood,OH,52,3.227
600150,Road Ranger #6429,1524 I-95 Exit 25,Walcott,IA,194,3.041
600151,Kwik Trip #6585,2865 I-95 Exit 282,Shabbona,IL,198,3.111
600152,Road Ranger #8648,7814 I-95 Exit 87,Mccook,NE,140,2.960
600153,Petro Stopping Center #9997,4274 I-40 Exit 387,Perrytown,AR,126,2.888
600154,AMBEST #6001,1466 I-95 Exit 219,Delco,NC,319,2.749
600155,Road Ranger #5408,6933 I-40 Exit 118,Rapids City,IL,342,3.080
600156,Kwik Trip #8951,3833 I-10 Exit 336,Rocky Ridge,OH,121,3.146
600157,Loves Travel Stop #9020,4156 I-95 Exit 15,Exeter,NE,63,2.935
600158,Petro Stopping Center #7782,6994 I-95 Exit 35,Rose Hill,NC,70,3.200
600159,AMBEST #3433,8193 State Hwy 6 Exit 309,Woodville,OH,127,2.937
600160,Pilot Travel Center #1591,2684 I-80 Exit 15,Oak Grove,IL,40,2.922
600161,Roadys Truck Stop #3623,1669 I-95 Exit 392,Northwood,OH,188,3.104
600162,TA Travel Center #4039,9601 I-40 Exit 187,Kappa,IL,78,3.104
600163,Flying J #1299,3292 I-80 Exit 203,Lake Tanglewood,TX,327,3.230
600164,Loves Travel Stop #4869,179 I-95 Exit 284,Coupland,TX,91,2.934
600165,Loves Travel Stop #2851,8046 I-40 Exit 94,Auxvasse,MO,126,3.235
600166,Roadys Truck Stop #8028,3168 I-40 Exit 58,Louise,MS,94,3.169
600167,Bosselman Travel Center #5796,397 I-80 Exit 51,Winona,TX,340,3.039
600168,Sapp Bros #6634,9525 I-10 Exit 353,Fortville,IN,8,2.885
600169,Pilot Travel Center #193,1823 I-10 Exit 298,Burlington,IL,328,3.383
600170,QuikTrip #6263,5715 I-80 Exit 388,Swifton,AR,90,3.034
600171,Petro Stopping Center #5161,8776 I-80 Exit 132,Temple City,CA,112,3.718
600172,QuikTrip #1963,6206 I-40 Exit 161,Bryn Mawr Skyway,WA,146,3.728
600173,Road Ranger #8174,5088 State Hwy 6 Exit 317,Liberty,TX,60,3.332
600174,Pilot Travel Center #9151,7508 I-40 Exit 69,Lauderhill,FL,248,3.246
600175,TA Travel Center #8833,3153 I-40 Exit 131,Richmond,VA,28,3.175
600176,Road Ranger #8614,258 I-95 Exit 373,Westphalia,IN,104,3.105
600177,Petro Stopping Center #9404,1968 I-80 Exit 105,Ames,TX,86,3.171
600178,Pilot Travel Center #509,6238 I-95 Exit 364,Oberlin,OH,110,3.257
600179,TA Travel Center #4446,1346 I-95 Exit 120,Poynor,TX,72,2.902
600180,TA Travel Center #7487,6397 I-80 Exit 185,Hettick,IL,76,2.813
600181,AMBEST #803,2787 I-40 Exit 113,North Chevy Chase,MD,58,3.225
600182,Sapp Bros #4853,2813 I-95 Exit 382,Imogene,IA,111,3.212
600183,TA Travel Center #6428,8195 I-10 Exit 14,Canton,SD,52,3.158
600184,QuikTrip #8382,1915 I-40 Exit 222,Runville,PA,240,3.019
600185,Road Ranger #8898,6840 I-10 Exit 70,Elizabeth,NJ,307,3.236
600186,Sapp Bros #3193,8409 State Hwy 6 Exit 132,Bartlett,IA,387,3.118
600187,TA Travel Center #7182,7348 I-80 Exit 9,Milton,PA,88,3.202
600188,Petro Stopping Center #1470,8018 I-10 Exit 174,Peralta,NM,107,3.566
600189,AMBEST #479,4735 I-10 Exit 7,San Gabriel,CA,185,3.693
600190,Kwik Trip #4704,1316 I-40 Exit 341,Chain Of Rocks,MO,176,3.003
600191,Pilot Travel Center #7429,5381 US-287 Exit 2,Bensenville,IL,271,3.091
600192,Kwik Trip #4871,6864 State Hwy 6 Exit 229,Ampere North,NJ,32,3.237
600193,Flying J #8235,8360 US-287 Exit 224,Hublersburg,PA,232,3.048
600194,Pilot Travel Center #9260,3822 I-40 Exit 334,Forest Park,GA,231,2.982
600195,Roadys Truck Stop #4566,4918 I-40 Exit 174,Janesville,IA,262,3.123
600196,Pilot Travel Center #1479,8251 I-80 Exit 227,Lambert,MO,86,3.201
600197,QuikTrip #9847,7353 I-80 Exit 372,Flat Rock,MI,71,2.892
600198,Loves Travel Stop #9064,3970 I-80 Exit 6,Mount Vernon,SD,185,3.144
600199,Loves Travel Stop #1574,2682 I-40 Exit 99,Pachuta,MS,131,3.356
600200,Roadys Truck Stop #8851,608 I-40 Exit 317,River Grove,IL,306,3.162
600201,Pilot Travel Center #6061,582 I-80 Exit 156,Tontogany,OH,22,3.044
600202,AMBEST #7785,4575 State Hwy 6 Exit 40,Riverside,IA,369,3.131
600203,Loves Travel Stop #7651,903 I-10 Exit 202,Laurys Station,PA,140,2.698
600204,QuikTrip #9385,7237 I-95 Exit 285,Bayonne,NJ,208,2.985
600205,Flying J #1567,2779 US-287 Exit 29,Long Creek,NC,230,3.007
600206,Petro Stopping Center #4978,8996 I-10 Exit 42,Old River Winfree,TX,127,2.748
600207,Kwik Trip #8639,2073 I-95 Exit 32,Carpenter,IA,64,3.344
600208,Petro Stopping Center #5593,6766 State Hwy 6 Exit 356,Bloomington,CA,206,3.822
600209,QuikTrip #7292,6917 I-40 Exit 300,Clarence,MO,174,3.228
600210,Road Ranger #574,1679 State Hwy 6 Exit 20,Swanton,OH,291,3.255
600211,TA Travel Center #1649,7470 State Hwy 6 Exit 157,Hope,AR,170,3.341
600212,QuikTrip #757,2212 I-80 Exit 341,Hansell,IA,106,3.273
600213,Kwik Trip #168,4221 I-10 Exit 180,Carmi,IL,118,2.992
600214,TA Travel Center #7315,7643 I-10 Exit 70,Delhi,IA,166,3.294
600215,Flying J #2537,1071 I-95 Exit 181,Adelino,NM,326,3.138
600216,Kwik Trip #4487,8687 I-95 Exit 285,Slabtown,PA,243,2.952
600217,Flying J #6010,8325 State Hwy 6 Exit 90,Chino,CA,235,3.890
600218,Flying J #3621,5661 I-10 Exit 242,Howland Center,OH,351,3.030
600219,AMBEST #360,2777 I-10 Exit 131,Allen Park,MI,16,3.287
600220,Bosselman Travel Center #8341,6668 I-10 Exit 217,Bolivia,NC,101,2.876
600221,Road Ranger #8759,5151 State Hwy 6 Exit 147,Paragould,AR,274,3.020
600222,QuikTrip #4170,9693 I-95 Exit 120,North Bay Village,FL,164,3.028
600223,Road Ranger #6537,5782 I-80 Exit 364,Brookville,PA,123,2.919
600224,Kwik Trip #6920,7537 State Hwy 6 Exit 86,Windom,TX,80,2.914
600225,QuikTrip #4178,5563 I-80 Exit 121,Galva,KS,160,3.453
600226,AMBEST #2689,1026 I-40 Exit 211,Northfield,MN,218,2.878
600227,Flying J #4127,4526 I-40 Exit 60,Lake Seneca,OH,135,3.064
600228,Sapp Bros #6626,3315 US-287 Exit 353,Moonachie,NJ,176,3.004
600229,TA Travel Center #6909,3569 State Hwy 6 Exit 88,North Ridgeville,OH,271,2.993
600230,Flying J #3294,6070 State Hwy 6 Exit 17,Phillipsburg,NJ,146,3.049
600231,Petro Stopping Center #4463,6060 US-287 Exit 367,Kirkville,IA,61,3.070
600232,Petro Stopping Center #3432,4538 US-287 Exit 76,Riverview,MI,44,2.750
600233,Loves Travel Stop #1824,7754 US-287 Exit 136,South Canal,OH,295,3.042
600234,Sapp Bros #7932,4832 I-80 Exit 392,Franklin Park,FL,42,3.465
600235,AMBEST #9180,8807 I-10 Exit 154,Spencer,OK,92,3.282
600236,Roadys Truck Stop #3993,8384 I-40 Exit 188,Seven Corners,VA,39,2.840
600237,TA Travel Center #1922,2115 State Hwy 6 Exit 140,Mahanoy City,PA,386,2.855
600238,Petro Stopping Center #6447,4823 I-80 Exit 301,Glenvil,NE,306,3.190
600239,Kwik Trip #7344,2943 US-287 Exit 226,Birmingham,MO,373,3.105
600240,Bosselman Travel Center #8755,8223 US-287 Exit 392,Pico Rivera,CA,331,3.787
600241,Bosselman Travel Center #2037,6000 I-80 Exit 2,Roselle,NJ,32,2.785
600242,Petro Stopping Center #6138,1333 I-95 Exit 113,Hawthorn,PA,143,3.158
600243,QuikTrip #9419,3006 I-10 Exit 121,Bellmont,IL,25,2.962
600244,Kwik Trip #2910,4361 US-287 Exit 379,Beaver Lake,NE,101,3.275
600245,Loves Travel Stop #521,8343 I-40 Exit 72,Lost Springs,KS,129,3.003
600246,Flying J #7938,8866 I-10 Exit 349,Chamberlayne,VA,197,3.137
600247,TA Travel Center #5155,3468 I-10 Exit 25,Whitehouse,OH,326,3.217
600248,Roadys Truck Stop #317,7075 State Hwy 6 Exit 378,Pottersville,NJ,381,3.145
600249,Bosselman Travel Center #6477,1971 I-10 Exit 14,Fargo,AR,194,3.112
600250,Roadys Truck Stop #4070,7405 US-287 Exit 311,New Vienna,IA,53,2.892
600251,TA Travel Center #1146,8601 State Hwy 6 Exit 307,Queen City,TX,359,2.896
600252,Pilot Travel Center #7058,1370 US-287 Exit 225,Parkersburg,IA,43,2.984
600253,Sapp Bros #9624,247 I-40 Exit 56,Mooresville,IN,85,3.037
600254,Flying J #1433,6904 I-40 Exit 1,Greenwich,NJ,131,3.171
600255,Pilot Travel Center #3167,7974 I-80 Exit 286,Ozark Acres,AR,318,2.753
600256,Kwik Trip #3816,2289 I-40 Exit 89,Mojave Ranch Estates,AZ,31,3.508
600257,Kwik Trip #6507,1409 US-287 Exit 383,Bluewater,CA,360,3.462
600258,Sapp Bros #701,7670 I-95 Exit 203,Mount Tabor,NJ,391,2.993
600259,Roadys Truck Stop #7516,8378 US-287 Exit 84,Avocado Heights,CA,17,3.895
600260,Petro Stopping Center #1488,4659 US-287 Exit 70,Valinda,CA,132,3.568
600261,Roadys Truck Stop #326,7893 I-80 Exit 251,Emmet,AR,87,3.024
600262,Roadys Truck Stop #1209,5899 I-95 Exit 189,Northwest,NC,87,3.351
600263,Kwik Trip #5376,9913 I-10 Exit 308,Prestbury,IL,140,2.953
600264,QuikTrip #7256,3595 State Hwy 6 Exit 360,Griffin,IN,392,3.102
600265,Bosselman Travel Center #8354,2892 I-95 Exit 118,Mustang,OK,15,3.004
600266,Bosselman Travel Center #7787,9943 I-10 Exit 274,Wilson,NC,107,3.206
600267,Roadys Truck Stop #7367,7219 I-40 Exit 241,Washington,IA,160,3.078
600268,Sapp Bros #9711,3678 I-95 Exit 140,Scott,IN,374,3.021
600269,AMBEST #8873,1793 US-287 Exit 3,Riverside,PA,396,3.026
600270,Bosselman Travel Center #1012,3972 US-287 Exit 223,Highlands,TX,380,3.303
600271,Pilot Travel Center #2285,8795 US-287 Exit 393,Keams Canyon,AZ,283,3.310
600272,Roadys Truck Stop #7071,347 I-95 Exit 215,New Boston,PA,109,2.913
600273,Sapp Bros #5134,7767 State Hwy 6 Exit 9,Malvern,AR,249,2.991
600274,TA Travel Center #1526,1032 I-40 Exit 257,Warrenville,IL,149,3.160
600275,TA Travel Center #6480,2806 I-10 Exit 71,Califon,NJ,195,2.995
600276,Loves Travel Stop #8724,482 I-80 Exit 143,Hunters Creek Village,TX,177,3.222
600277,Bosselman Travel Center #4906,1097 I-95 Exit 179,Aetna Estates,CO,311,3.251
600278,Sapp Bros #4038,5611 I-80 Exit 142,West Rancho Dominguez,CA,329,3.567
600279,Flying J #7810,7524 I-10 Exit 303,Alanreed,TX,170,3.374
600280,Roadys Truck Stop #6039,5387 State Hwy 6 Exit 115,Haverhill,FL,249,2.991
600281,Petro Stopping Center #9277,5877 I-10 Exit 384,Weldon Spring Heights,MO,80,3.017
600282,Sapp Bros #9124,4858 State Hwy 6 Exit 235,Hiram,OH,304,3.184
600283,AMBEST #941,1448 I-10 Exit 252,Kunkle,OH,167,3.144
600284,QuikTrip #9749,2969 I-95 Exit 141,Bernard,IA,289,2.774
600285,AMBEST #7114,5469 I-80 Exit 108,Summit Hill,PA,320,2.984
600286,Bosselman Travel Center #9336,964 I-80 Exit 31,Fountain Springs,PA,115,3.166
600287,AMBEST #8570,5661 US-287 Exit 20,Crestwood,IL,225,3.314
600288,Loves Travel Stop #5711,9444 I-10 Exit 43,Cornell,IL,66,3.091
600289,Petro Stopping Center #2451,6896 I-95 Exit 379,Weldon,NC,164,2.898
600290,Road Ranger #9002,5682 I-40 Exit 363,Brodheadsville,PA,104,3.117
600291,AMBEST #7998,6245 I-10 Exit 127,Goss,MO,171,3.149
600292,Loves Travel Stop #5216,2243 I-10 Exit 223,Ranshaw,PA,383,3.206
600293,TA Travel Center #456,4542 I-40 Exit 262,Karthaus,PA,182,3.200
600294,Flying J #3450,4416 State Hwy 6 Exit 40,Glenvar Heights,FL,36,3.070
600295,Kwik Trip #9911,8262 I-95 Exit 254,Ridott,IL,97,2.907
600296,AMBEST #6365,5823 I-95 Exit 97,Verona,IL,338,3.157
600297,Flying J #8416,772 US-287 Exit 53,Juliaetta,ID,365,3.821
600298,Loves Travel Stop #6401,890 I-80 Exit 104,Alexander,IA,378,3.090
600299,AMBEST #3891,1101 I-95 Exit 192,Minco,OK,150,3.076
600300,Petro Stopping Center #4192,6975 I-10 Exit 221,Miami Shores,FL,28,3.143
600301,AMBEST #3061,360 I-10 Exit 310,Homestead Valley,CA,102,3.793
600302,Kwik Trip #8952,891 I-10 Exit 82,Lilydale,MN,351,3.229
600303,Loves Travel Stop #614,9608 I-80 Exit 213,Warren,OH,249,3.050
600304,Roadys Truck Stop #8270,7598 State Hwy 6 Exit 233,Holly Hills,CO,123,3.089
600305,Roadys Truck Stop #5704,7573 State Hwy 6 Exit 160,Maumelle,AR,183,2.940
600306,Pilot Travel Center #3508,4199 I-95 Exit 57,Bertrand,MO,315,3.173
600307,Sapp Bros #4197,3410 US-287 Exit 396,Harveyville,KS,379,3.081
600308,Pilot Travel Center #2389,6355 I-95 Exit 105,Melrose Park,IL,294,3.019
600309,Sapp Bros #6186,3465 I-80 Exit 26,Rowlett,TX,276,2.844
600310,Flying J #4187,3189 I-10 Exit 43,Jacksonport,AR,106,2.845
600311,Sapp Bros #1244,5200 I-10 Exit 267,Jim Thorpe,PA,162,2.935
600312,QuikTrip #474,2447 State Hwy 6 Exit 129,Chester,VA,9,3.309
600313,Roadys Truck Stop #2371,7023 I-40 Exit 198,Pierceville,KS,226,3.204
600314,AMBEST #2120,4965 US-287 Exit 260,Lightstreet,PA,245,3.169
600315,Roadys Truck Stop #2675,1859 State Hwy 6 Exit 147,Troutville,PA,288,3.366
600316,Petro Stopping Center #2325,7524 I-10 Exit 297,Alexander,IL,233,3.050
600317,Flying J #993,2955 I-95 Exit 145,Juno Beach,FL,28,2.809
600318,QuikTrip #2866,5750 I-80 Exit 342,Cliffside Park,NJ,18,3.147
600319,TA Travel Center #3850,6018 I-95 Exit 318,Fostoria,IA,106,2.838
600320,TA Travel Center #6231,9048 I-80 Exit 275,Cameron,OK,136,3.114
600321,Kwik Trip #9264,9972 I-40 Exit 303,Woodland Hills,NE,343,3.337
600322,Petro Stopping Center #9985,5969 I-40 Exit 197,Pine Lake,AZ,348,3.394
600323,Road Ranger #5569,9641 I-40 Exit 384,Cedro,NM,362,3.310
